Legia Warszawa	82	2249	3211	3757	2361	+1396	1105	435	661	9	563	580
Wisła Kraków	79	2114	2798	3431	2499	+932	950	370	574	6	532	631
Ruch Chorzów	77	2070	2428	3109	2662	+447	841	192	639	10	555	673
Górnik Zabrze	61	1762	2239	2646	1971	+675	750	213	517	20	508	504
Lech Poznań	58	1667	2109	2297	1936	+361	672	305	355	12	456	538
ŁKS Łódź	65	1720	1761	2228	2361	-133	598	92	498	8	474	647
Pogoń Szczecin	46	1363	1425	1587	1856	-269	440	160	273	7	385	538
Śląsk Wrocław	40	1219	1395	1433	1477	-44	436	161	266	9	358	425
Widzew Łódź	35	1075	1362	1401	1244	+157	425	179	243	3	336	314
Zagłębie Lubin	30	942	1196	1171	1115	+56	343	240	101	2	272	326
Cracovia	40	1011	1124	1449	1459	-10	369	146	223	0	240	402
GKS Katowice	30	894	1030	1023	977	+46	321	87	217	17	286	287
Polonia Warszawa	31	800	966	1165	1251	-86	304	180	124	0	178	318
Zagłębie Sosnowiec	36	970	901	1155	1295	-140	317	6	311	0	265	388
Polonia Bytom	35	892	881	1099	1141	-42	289	32	256	1	274	328
Lechia Gdańsk	27	731	802	807	954	-147	237	128	107	2	201	293
Stal Mielec	25	738	726	834	844	-10	247	8	236	3	227	263
Szombierki Bytom	25	702	645	875	999	-124	235	0	235	0	180	287
Jagiellonia Białystok	16	509	628	598	701	-103	179	154	25	0	133	197
Korona Kielce	13	415	566	511	552	-41	148	148	0	0	122	145
Gwardia Warszawa	23	572	539	682	764	-82	195	0	195	0	149	228
Odra Wodzisław Śl.	14	418	529	487	570	-83	145	145	0	0	94	179
Odra Opole	22	564	523	645	740	-95	182	0	182	0	159	223
Amica Wronki	11	332	498	452	370	+82	135	135	0	0	93	104
GKS Bełchatów	12	375	486	422	463	-41	130	130	0	0	96	149
Arka Gdynia	15	454	453	464	587	-123	130	61	69	0	132	192
Dyskobolia Grodzisk W.	10	294	441	420	357	+63	124	124	0	0	69	101
Wisła Płock	12	364	430	422	539	-117	115	107	8	0	93	156
Warta Poznań	18	410	423	841	733	+108	177	0	177	0	69	164
Piast Gliwice	9	295	381	353	399	-46	101	101	0	0	78	116
Zawisza Bydgoszcz	14	430	376	461	651	-190	126	22	100	4	98	206
Garbarnia Kraków	15	315	306	561	561	0	121	0	121	0	64	130
Pogoń Lwów	13	273	304	537	437	+100	130	0	130	0	44	99
Stomil Olsztyn	8	254	296	255	339	-84	76	69	7	0	75	103
Stal Rzeszów	11	290	255	297	377	-80	79	0	79	0	97	114
Hutnik Kraków	7	234	254	299	284	+15	75	23	52	0	81	78
Górnik Łęczna	7	223	248	231	331	-100	64	64	0	0	56	103
Warszawianka	13	271	227	427	612	-185	90	0	90	0	47	134
Olimpia Poznań	8	256	225	274	321	-47	68	0	63	5	94	92
Motor Lublin	9	274	220	259	372	-113	70	0	70	0	92	112
